year,country,location,tests
1964,5,1,1
1965,5,1,1
1966,5,1,3
1967,5,1,2
1968,5,1,1
1969,5,1,1
1969,5,2,1
1970,5,1,1
1971,5,1,1
1972,5,1,2
1973,5,1,1
1974,5,1,1
1975,5,2,1
1976,5,1,3
1976,5,2,1
1977,5,1,1
1978,5,1,2
1978,5,2,1
1979,5,1,1
1980,5,1,1
1982,5,2,1
1983,5,2,2
1984,5,2,2
1987,5,2,1
1988,5,2,1
1990,5,2,2
1992,5,2,2
1993,5,3,1
1993,5,2,1
1994,5,2,2
1995,5,3,1
1995,5,2,2
1996,5,2,2
1999,5,3,1
2001,5,3,4
