year,country,location,tests
1960,3,3,4
1961,3,3,6
1962,3,2,2
1963,3,3,4
1964,3,2,2
1965,3,2,1
1974,3,2,1
1976,3,2,1
1978,3,2,2
1979,3,2,1
1980,3,2,3
1981,3,2,1
1982,3,2,1
1983,3,2,1
1984,3,2,2
1985,3,2,1
1986,3,2,1
1987,3,2,1
1989,3,2,1
1990,3,2,1
1991,3,2,1
2002,3,3,1
2006,3,3,1
