,USA,RUS,PAK,NK,IND,GBR,FRA,CHN
total,"306,220,346,294","55,773,489,343","2,705,198,462","10,000,000,000","9,903,150,710","34,978,311,920","35,007,031,283","38,078,634,242"
percent,5.552572806,3.905221331,5.499761864,22,3.151194644,4.035203071,3.742060846,2.024609002
