,country,Values,,,,,,,,,,,,,,
,USA,,RUS,,PAK,,NK,,IND,,GBR,,FRA,,CHN,
year,SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $)
1994,3.941278765,"325,400,385,700",4.898554695,"107,307,084,600",5.923548293,"3,978,528,933",,,2.751026887,"8,476,430,682",3.024573401,"39,295,880,340",3.167206841,"50,143,891,580",1.724967688,"32,122,320,780"
1995,3.63847027,"302,068,856,300",4.066510417,"89,152,681,890",5.820225283,"3,959,683,749",,,2.654022034,"10,863,580,460",2.593898734,"36,319,932,820",2.967345243,"51,934,698,880",1.716336642,"35,801,325,150"
1996,3.350744426,"296,014,733,500",4.060533636,"78,996,624,510",5.628229087,"3,899,117,080",,,2.545692432,"12,896,340,420",2.475893157,"37,652,317,340",2.874458874,"50,608,447,070",1.686051138,"38,623,893,610"
1997,3.209908811,"290,067,585,700",4.340721123,"67,183,181,640",5.346650999,"4,110,770,927",,,2.726156722,"13,441,885,010",2.321071944,"37,513,409,050",2.827952381,"43,588,238,300",1.674802087,"38,368,944,880"
1998,3.017625314,"290,448,855,900",3.001187205,"59,301,194,900",5.163725717,"4,234,687,040",,,2.808572693,"14,116,315,750",2.270791425,"39,556,629,090",2.65032647,"42,402,945,220",1.703300374,"39,658,394,500"
1999,2.908401135,"298,787,533,800",3.302079404,"58,091,070,310",4.508824879,"3,603,078,182",,,3.064891088,"14,210,834,890",2.206241646,"37,194,648,680",2.592746984,"38,670,448,230",1.922053121,"40,795,681,400"
2000,2.933426027,"303,136,000,000",3.553169553,"52,000,000,000",3.969644045,"2,522,000,000",,,3.0542772,"14,765,000,000",2.155777374,"35,655,000,000",2.471010965,"34,053,000,000",1.892938442,"42,000,000,000"
2001,2.944350298,"315,205,610,100",3.793354672,"62,269,644,900",4.063476584,"2,341,809,552",,,2.933794441,"13,852,365,730",2.190259465,"33,943,038,330",2.407503679,"32,178,125,490",2.081184198,"45,026,299,820"
2002,3.24955591,"335,644,037,500",4.054896605,"48,918,297,270",4.191546155,"2,587,469,779",,,2.833196676,"13,239,717,900",2.256573135,"36,728,204,260",2.426268254,"35,140,285,510",2.185412706,"66,408,514,460"
2003,3.607278445,"382,279,211,400",3.922355406,"61,554,392,440",4.088917797,"2,954,044,386",,,2.681176222,"14,640,882,180",2.314078888,"40,889,298,940",2.484613158,"43,646,973,480",2.115686315,"71,278,475,910"
2004,3.785578701,"418,921,747,300",3.526199897,"54,764,856,370",3.961987979,"3,348,374,776",,,2.82875261,"18,212,990,240",2.259030374,"46,053,936,270",2.495382169,"49,033,842,800",2.063710599,"80,079,819,340"
2005,3.844238069,"440,941,908,300",3.557301029,"16,707,376,020",3.866036866,"3,620,465,594",,,2.754906765,"19,340,603,760",2.198926824,"50,672,275,030",2.400989177,"47,342,016,410",2.00873489,"26,593,107,620"
2006,3.80819723,"450,727,535,100",3.48466522,"21,227,829,660",3.675699027,"3,589,651,303",,,2.526806234,"19,371,679,360",2.146215009,"51,759,731,460",2.344886085,"46,918,539,080",2.01072345,"30,423,072,140"
2007,3.847053379,"464,863,299,000",3.388153704,"27,101,770,600",3.430992382,"3,810,989,316",,,2.34263368,"22,304,803,470",2.154171756,"53,217,563,390",2.275462951,"51,033,605,710",1.914648989,"38,845,170,130"
2018,,,,,,,22,"10,000,000,000",,,,,,,,
