date taken,capture time,type,dimensions,capture,keyword: content,keyword: type
10/10/19,11:02:50 PM,.heic,3024x4032,iphone 7,of someone else,taken by phone
10/10/19,11:02:49 PM,.heic,3024x4032,iphone 7,of someone else,taken by phone
10/10/19,7:57:55 PM,.heic,3024x4032,iphone 7,of a thing,taken by phone
10/10/19,7:57:45 PM,.heic,3024x4032,iphone 7,of a thing,taken by phone
10/10/19,7:57:35 PM,.heic,3024x4032,iphone 7,of a thing,taken by phone
10/09/19,1:41:06 AM,.jpg,960x700,,memes,saved
10/09/19,1:34:56 AM,.heic,3024x4032,iphone 7,of someone else,taken by phone
10/08/19,9:54:11 PM,.heic,3024x4032,iphone 7,of someone else,taken by phone
10/08/19,9:54:07 PM,.heic,3024x4032,iphone 7,of someone else,taken by phone
10/08/19,9:54:06 PM,.heic,3024x4032,iphone 7,of someone else,taken by phone
10/08/19,9:54:05 PM,.heic,3024x4032,iphone 7,of someone else,taken by phone
10/08/19,9:54:00 PM,.heic,3024x4032,iphone 7,of someone else,taken by phone
10/08/19,4:19:25 PM,.png,750x1334,,something to remember,screenshot
10/06/19,5:33:50 PM,.png,750x1334,,misc,screenshot
10/05/19,7:35:07 PM,.jpg,750x1334,iphone 7,of someone else,taken by phone
